tickerSymbol,language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,regularMarketChangePercent,regularMarketPrice,marketState,currency,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChange,regularMarketTime,regularMarketPreviousClose,fullExchangeName,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,sourceInterval,exchangeDataDelayedBy,tradeable,cryptoTradeable,firstTradeDateMilliseconds,priceHint,price,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,bid,ask,bidSize,askSize,financialCurrency,regularMarketOpen,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,bookValue,priceToBook,displayName,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,marketCap,forwardPE,averageAnalystRating,ipoExpectedDate,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,ytdReturn,trailingThreeMonthReturns,trailingThreeMonthNavReturns,netAssets,prevName,nameChangeDate,newListingDate,underlyingSymbol,openInterest
AAACX,en-US,US,MUTUALFUND,Fund,Delayed Quote,False,NONE,0.30721965,6.53,CLOSED,USD,NAS,A3 Alternative Credit Fund,Alpha Alternative Assets Fund,finmb_618418991,America/New_York,EDT,-14400000,us_market,False,0.02,1680825601,6.51,Nasdaq,0.0,0.0,-1.4199996,-0.1786163,7.95 - 10.25,-3.7199998,-0.3629268,7.95,10.25,8.9932,-2.4632,-0.27389583,9.5735,-3.0434995,-0.31790876,15,0,False,False,1569936600000.0,2,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAC-UN,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,0.0,10.4901,CLOSED,USD,NYQ,Ares Acquisition Corporation,Ares Acquisition Corporation,finmb_701465676,America/New_York,EDT,-14400000,us_market,False,0.0,1680724694,10.4901,NYSE,2067.0,950.0,0.6900997,0.070418335,9.8 - 10.5807,-0.090600014,-0.008562762,9.8,10.5807,10.402556,0.08754349,0.008415574,10.097023,0.3930769,0.03892998,15,0,False,False,1612276200000.0,2,10.4901,10.4901,10.49 - 10.4901,10.49,1.0,10.49,16.78,18.0,14.0,USD,10.49,0.0,104.901,0.0,0.1,-0.488,-21.496105,Ares,,,,,,,,,,,,,,,,,,,,,,,,,
AACG,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,-1.6042765,1.84,CLOSED,USD,NGM,ATA Creativity Global,ATA Creativity Global,finmb_39920439,America/New_York,EDT,-14400000,us_market,False,-0.029999971,1680811204,1.87,NasdaqGM,35880.0,10680.0,0.96000004,1.0909091,0.88 - 2.64,-0.8000001,-0.3030303,0.88,2.64,1.8426,-0.0025999546,-0.001411025,1.73355,0.10645008,0.061405834,15,0,False,False,1201617000000.0,4,1.84,1.88,1.81 - 1.88,1.81,9907.0,1.83,2.04,10.0,8.0,CNY,1.865,0.0,,0.0,-0.22,4.557,0.4037744,,1535068800.0,1680224400.0,1683716340.0,1684152000.0,-1.22,-0.92,-2.0,31376900.0,58351000.0,-1.5081967,1.5 - Strong Buy,,,,,,,,,,,,,,
AACI,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,0.0,10.1,CLOSED,USD,NGM,Armada Acquisition Corp. I,Armada Acquisition Corp. I,finmb_706895895,America/New_York,EDT,-14400000,us_market,False,0.0,1680708238,10.1,NasdaqGM,39061.0,1110.0,1.54,0.17990653,8.56 - 12.2,-2.0999994,-0.1721311,8.56,12.2,10.1014,-0.0013999939,-0.00013859404,9.996095,0.10390568,0.010394627,15,0,False,False,1636554600000.0,2,10.1,10.1,10.1 - 10.1,10.1,5684.0,10.09,10.1,11.0,13.0,USD,10.1,0.0,,0.0,-0.25,-0.241,-41.908714,,,,,,,,,20709500.0,209165952.0,,,2021-11-10,,,,,,,,,,,,,
AACIU,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,0.0,10.0,CLOSED,USD,NGM,Armada Acquisition Corp. I,Armada Acquisition Corp. I,finmb_706895895,America/New_York,EDT,-14400000,us_market,False,0.0,1678823989,10.0,NasdaqGM,40.0,0.0,0.28999996,0.029866114,9.71 - 10.825,-0.8249998,-0.07621246,9.71,10.825,10.234,-0.2340002,-0.022864979,10.047825,-0.04782486,-0.004759723,15,0,False,False,1628861400000.0,2,10.0,10.0,10.0 - 10.0,10.0,2.0,10.1,10.45,8.0,10.0,USD,10.0,0.0,,0.0,-0.203,-0.241,-41.49378,,,,,,,,,,,,,2021-08-13,,,,,,,,,,,,,
AACIW,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,0.0,0.107899,CLOSED,USD,NGM,Armada Acquisition Corp. I Warrant,Armada Acquisition Corp. I,finmb_706895895,America/New_York,EDT,-14400000,us_market,False,0.0,1680708154,0.107899,NasdaqGM,,,0.009399004,0.09542137,0.0985 - 0.107899,0.0,0.0,0.0985,0.107899,,,,,,,15,0,False,False,,4,0.107899,0.107899,0.0985 - 0.107899,0.0985,360.0,0.0,0.108,10.0,8.0,USD,0.1075,,,,,0.005,21.579802,,,,,,,,,,,,,2021-11-10,,,,,,,,,,,,,
AADI,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,-1.3888876,7.1,CLOSED,USD,NCM,"Aadi Bioscience, Inc.","Aadi Bioscience, Inc.",finmb_430225247,America/New_York,EDT,-14400000,us_market,False,-0.099999905,1680811204,7.2,NasdaqCM,136246.0,167430.0,0.2999997,0.044117603,6.8 - 17.969,-10.8689995,-0.604875,6.8,17.969,9.7782,-2.6782002,-0.27389503,12.211475,-5.1114755,-0.41857967,15,0,False,False,1518791400000.0,2,7.1,7.23,7.0 - 7.23,7.0,74157.0,7.13,7.36,40.0,8.0,USD,7.23,0.0,,0.0,-2.83,6.482,1.095341,Aadi Bioscience,,1680006600.0,1683721800.0,1684153800.0,-2.56,-2.4,-2.9583333,24437000.0,173502704.0,-2.7734375,1.6 - Buy,,0.704228,1680814860.0,7.15,0.0500002,,,,,,,,,
AADR,en-US,US,ETF,ETF,Delayed Quote,True,HIGH,0.741522,47.55,CLOSED,USD,NGM,AdvisorShares Dorsey Wright,AdvisorShares Dorsey Wright ADR ETF,finmb_109691817,America/New_York,EDT,-14400000,us_market,False,0.349998,1680808669,47.2,NasdaqGM,3966.0,1590.0,4.200001,0.09688584,43.35 - 59.5,-11.950001,-0.20084035,43.35,59.5,48.2182,-0.66820145,-0.013857868,48.3659,-0.8158989,-0.016869301,15,0,False,False,1279719000000.0,2,47.55,47.877,47.55 - 47.877,47.55,890.0,43.27,52.47,9.0,18.0,,47.6,,11.238507,,4.230989,,,,,,,,,,,,,,,2021-06-03,,,,,-0.4397,-1.14345,-1.14345,29036376.0,,,,,
AAIDX,en-US,US,MUTUALFUND,Fund,Delayed Quote,False,NONE,-0.050968397,19.61,CLOSED,USD,NAS,Axonic Alternative Income Fund,Axonic Alternative Income Fund,finmb_585522804,America/New_York,EDT,-14400000,us_market,False,-0.01,1680825602,19.62,Nasdaq,0.0,0.0,-0.8299999,-0.040606648,20.44 - 22.6,-2.9899998,-0.13230087,20.44,22.6,22.254705,-2.6447048,-0.118838005,22.261555,-2.651554,-0.11910912,15,0,False,False,1552055400000.0,2,19.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,0.86393005,14.01,CLOSED,USD,NMS,"American Airlines Group, Inc.",American Airlines Group Inc.,finmb_168569,America/New_York,EDT,-14400000,us_market,False,0.119999886,1680811204,13.89,NasdaqGS,23897779.0,15419130.0,2.3600006,0.20257516,11.65 - 21.42,-7.41,-0.34593835,11.65,21.42,15.494,-1.4840002,-0.095779024,14.31085,-0.3008499,-0.021022504,15,0,False,False,1127827800000.0,2,14.01,14.18,13.87 - 14.18,13.87,14066992.0,13.98,14.01,12.0,40.0,USD,13.95,0.0,3.891667,0.0,3.6,-8.913,-1.5718614,American Airlines,1582070400.0,1674739800.0,1681907400.0,1682339400.0,2.95,2.28,6.1447372,1337580032.0,19207288832.0,4.7491527,2.9 - Hold,,-0.21413766,1680825587.0,13.98,-0.030000687,,,,,,,,,
