language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChangePercent,regularMarketPrice,marketState,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,averageAnalystRating,tradeable,cryptoTradeable,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,regularMarketChange,regularMarketTime,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,firstTradeDateMilliseconds,priceHint,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,displayName,price,ytdReturn,trailingThreeMonthReturns,trailingThreeMonthNavReturns,prevName,nameChangeDate,delistingDate,ipoExpectedDate,newListingDate
en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NYQ,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",finmb_154924,America/New_York,EDT,-14400000,us_market,False,-2.31051,135.72,CLOSED,295702016.0,18.961,149.8582,-14.138199,-0.09434385,137.06195,-1.3419495,-0.009790824,40132677632.0,21.508717,7.1578503,15,0,1.9 - Buy,False,False,0.2063062,1678494405.0,136.0,0.27999878,-3.2099915,1678482184,139.44,134.71 - 139.44,134.71,1895992.0,-0.15312614,112.52,160.26,1682467200.0,1677619800.0,1684753140.0,1685102400.0,0.855,31.271889,0.0061541786,4.34,6.31,5.69,23.852373,942935400000.0,2,138.93,113.0,147.8,8.0,14.0,NYSE,USD,139.19,1303033.0,1625470.0,23.200005,0.20618561,112.52 - 160.26,-24.539993,Agilent,135.72,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NYQ,Alcoa Corporation,Alcoa Corporation,finmb_369991357,America/New_York,EDT,-14400000,us_market,False,-6.2421746,44.91,CLOSED,178348992.0,28.683,50.142,-5.2319984,-0.10434364,47.68405,-2.7740517,-0.05817567,8009653248.0,8.703488,1.5657358,15,0,2.3 - Buy,False,False,0.62346643,1678496294.0,45.19,0.27999878,-2.9900017,1678482001,48.12,44.46 - 48.12,44.46,6195524.0,-0.54215515,33.55,98.09,1679529600.0,1674079200.0,1681815540.0,1682337600.0,0.4,,0.008350731,-0.6,5.16,2.41,18.634853,-252322200000.0,2,47.9,45.06,47.52,14.0,8.0,NYSE,USD,48.12,4928556.0,5570480.0,11.360001,0.33859915,33.55 - 98.09,-53.179996,Alcoa,44.91,,,,,,,,
en-US,US,ETF,ETF,Nasdaq Real Time Price,True,HIGH,USD,PCX,Investment Managers Series Trus,AXS First Priority CLO Bond ETF,finmb_668662879,America/New_York,EDT,-14400000,us_market,False,-0.04066787,24.58,CLOSED,,,24.53556,0.044439316,0.0018112208,24.359215,0.22078514,0.009063722,,,,15,0,,False,False,0.162995,1678482005.0,24.58,0.039999,-0.010000229,1678482000,24.5801,24.54 - 24.5801,24.54,1478.0,-0.014236998,24.03,24.935,,,,,,,,,,,,1599658200000.0,2,24.59,12.3,26.94,9.0,30.0,NYSEArca,,24.5601,588.0,330.0,0.54999924,0.022888023,24.03 - 24.935,-0.35499954,,24.58,1.83188,2.4405,2.4405,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NYQ,Ares Acquisition Corporation,Ares Acquisition Corporation,finmb_701465676,America/New_York,EDT,-14400000,us_market,False,-0.77820945,10.2,CLOSED,46997100.0,-0.488,10.175,0.024999619,0.002456965,9.98445,0.21554947,0.021588515,734370432.0,,-20.901638,15,0,,False,False,2.94118,1678488468.0,10.5,0.3,-0.07999992,1678482002,10.3,10.2 - 10.3,10.2,140898.0,-0.009708774,9.75,10.3,,,,,0.0,60.0,0.0,0.17,,,,1616679000000.0,2,10.28,10.23,10.48,9.0,18.0,NYSE,USD,10.28,783930.0,175180.0,0.4499998,0.046153825,9.75 - 10.3,-0.10000038,Ares,10.2,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NYQ,Ares Acquisition Corporation Re,,,America/New_York,EDT,-14400000,us_market,False,2.426529,0.84,CLOSED,,,,,,,,,,,,15,0,,False,False,,,,,0.019899964,1678478545,0.89,0.89 - 0.89,0.89,1410.0,-0.056179788,0.89,0.89,,,,,,,,,,,,,4,0.888164,0.87,0.0,22.0,10.0,NYSE,,0.89,,,-0.050000012,-0.056179788,0.89 - 0.89,-0.050000012,,0.84,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NYQ,Arlington Asset Investment Corp,Arlington Asset Investment Corp.,finmb_20323,America/New_York,EDT,-14400000,us_market,False,-3.7542708,2.82,CLOSED,28366700.0,6.331,3.0042,-0.18420005,-0.061314177,3.0842,-0.26419997,-0.0856624,79994096.0,10.071428,0.44542727,15,0,2.7 - Hold,False,False,-0.7092192,1678487203.0,2.8,-0.01999998,-0.11000013,1678482002,2.96,2.81 - 2.96,2.81,100820.0,-0.23577239,2.65,3.69,1580688000.0,1668524400.0,1678737600.0,1679688000.0,0.0,56.399998,0.0,0.05,0.28,0.3,9.4,882887400000.0,4,2.93,2.8,3.4,14.0,14.0,NYSE,USD,2.93,96340.0,82380.0,0.16999984,0.06415088,2.65 - 3.69,-0.8700001,Arlington Asset Inv,2.82,,,,exeno coin,2023-03-12,,,
en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NYQ,Arlington Asset Investment Corp,Arlington Asset Investment Corp.,finmb_20323,America/New_York,EDT,-14400000,us_market,False,1.40086,18.9721,CLOSED,,6.331,18.992332,-0.020233154,-0.0010653328,19.518873,-0.5467739,-0.028012576,,,2.9966989,15,0,,False,False,,,,,0.2621,1678475411,18.9721,18.8307 - 18.9721,18.8307,1100.0,-0.22325078,15.8,24.425,1680134400.0,,,,0.0,,0.0,-0.293,,,,1494941400000.0,2,18.71,18.0,19.48,10.0,10.0,NYSE,USD,18.8307,843.0,849.0,3.172099,0.20076576,15.8 - 24.425,-5.4529,Arlington Asset Inv,18.9721,,,,exeno coin,2023-03-12,,,
en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NYQ,Arlington Asset Investment Corp,Arlington Asset Investment Corp.,finmb_20323,America/New_York,EDT,-14400000,us_market,False,-1.19247,21.2535,CLOSED,,6.331,22.139963,-0.88646317,-0.040039055,21.373577,-0.12007713,-0.0056180176,,,3.3570526,15,0,,False,False,,,,,-0.2565,1678481110,21.5,21.0 - 21.5,21.0,3337.0,-0.15927278,17.625,25.2799,1680134400.0,,,,0.0,,0.0,-0.293,,,,1551882600000.0,2,21.51,21.13,21.39,11.0,8.0,NYSE,USD,21.51,2354.0,4957.0,3.6285,0.20587234,17.625 - 25.2799,-4.0263996,Arlington Asset Inv,21.2535,,,,exeno coin,2023-03-12,,,
en-US,US,EQUITY,Equity,,True,HIGH,USD,NYQ,Arlington Asset Investment Corp,,finmb_20323,America/New_York,EDT,-14400000,us_market,False,0.0,23.0,CLOSED,,,23.25156,-0.2515602,-0.010819068,23.60801,-0.60800934,-0.025754368,,,,15,0,,False,False,,,,,0.0,1678391990,23.0028,23.0 - 23.0028,23.0,18.0,-0.09584086,20.99,25.438,1682899200.0,,,,,,,,,,,1626701400000.0,2,23.0,20.1,26.09,11.0,8.0,NYSE,,23.0,2658.0,1480.0,2.0100002,0.0957599,20.99 - 25.438,-2.4379997,,23.0,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NYQ,"Apollo Asset Management, Inc. 6","Apollo Global Management, Inc.",finmb_18833,America/New_York,EDT,-14400000,us_market,False,-1.8746064,21.99,CLOSED,,0.696,24.130169,-2.1401691,-0.08869267,23.975533,-1.9855328,-0.08281496,,,31.594828,15,0,,False,False,,,,,-0.42010117,1678481831,22.92,21.775 - 22.92,21.775,29502.0,-0.14568764,20.9533,25.74,1678838400.0,1675949400.0,1683117000.0,1683549000.0,1.6,35.3537,0.07139638,0.622,,,,1488378600000.0,2,22.4101,14.01,35.16,9.0,9.0,NYSE,USD,22.1,18212.0,21315.0,1.0366993,0.049476657,20.9533 - 25.74,-3.75,Apollo Global Management,21.99,,,,,,,,
