tickerSymbol,language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChangePercent,regularMarketPrice,marketState,firstTradeDateMilliseconds,priceHint,regularMarketChange,regularMarketTime,regularMarketPreviousClose,fullExchangeName,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,sourceInterval,exchangeDataDelayedBy,tradeable,cryptoTradeable,price,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,bid,ask,bidSize,askSize,financialCurrency,regularMarketOpen,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,bookValue,priceToBook,displayName,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,marketCap,forwardPE,averageAnalystRating,ipoExpectedDate,ytdReturn,trailingThreeMonthReturns,trailingThreeMonthNavReturns,prevName,nameChangeDate,prevExchange,exchangeTransferDate,newListingDate,prevTicker,tickerChangeDate,underlyingSymbol,openInterest
AAACX,en-US,US,MUTUALFUND,Fund,Delayed Quote,False,NONE,USD,NAS,A3 Alternative Credit Fund,Alpha Alternative Assets Fund,finmb_618418991,America/New_York,EDT,-14400000,us_market,False,-0.6033182,6.59,REGULAR,1569936600000.0,2,-0.04,1679573101,6.63,Nasdaq,0.0,0.0,-1.3599997,-0.17106915,7.95 - 10.25,-3.6599998,-0.35707316,7.95,10.25,8.9932,-2.4032001,-0.26722413,9.5735,-2.9834995,-0.31164148,15,0,False,False,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAC-UN,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NYQ,Ares Acquisition Corporation,Ares Acquisition Corporation,finmb_701465676,America/New_York,EDT,-14400000,us_market,False,0.0,10.48,REGULAR,1612276200000.0,2,0.0,1679515162,10.48,NYSE,2745.0,508.0,0.67999935,0.06938769,9.8 - 10.5807,-0.10070038,-0.009517364,9.8,10.5807,10.343084,0.1369152,0.013237367,10.061122,0.4188776,0.04163329,15,0,False,False,10.48,10.48,10.48 - 10.48,10.48,1.0,10.49,10.58,9.0,11.0,USD,10.48,0.0,104.799995,0.0,0.1,-0.488,-21.475409,Ares,,,,,,,,,,,,,,,,,,,,,,,,
AACG,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NGM,ATA Creativity Global,ATA Creativity Global,finmb_39920439,America/New_York,EDT,-14400000,us_market,False,-2.105261,1.86,REGULAR,1201617000000.0,4,-0.03999996,1679579277,1.9,NasdaqGM,36788.0,26250.0,0.98,1.1136364,0.88 - 2.64,-0.7800001,-0.29545456,0.88,2.64,1.7412,0.118800044,0.06822883,1.68905,0.17095006,0.10121077,15,0,False,False,1.86,1.86,1.86 - 1.86,1.86,498.0,1.83,1.86,8.0,40.0,CNY,1.86,0.0,,0.0,-0.24,4.453,0.41769594,,1535068800.0,1669856400.0,1679914740.0,1680264000.0,-1.22,-0.89,-2.0898876,31376900.0,58361036.0,-1.5245901,1.5 - Strong Buy,,,,,,,,,,,,,
AACI,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NGM,Armada Acquisition Corp. I,Armada Acquisition Corp. I,finmb_706895895,America/New_York,EDT,-14400000,us_market,False,0.0,10.1,REGULAR,1636554600000.0,2,0.0,1679071960,10.1,NasdaqGM,52910.0,790.0,1.54,0.17990653,8.56 - 12.2,-2.0999994,-0.1721311,8.56,12.2,10.1131,-0.01309967,-0.001295317,9.983795,0.116205215,0.011639383,15,0,False,False,10.1,10.1,10.1 - 10.1,10.1,52.0,10.07,10.1,11.0,32.0,USD,10.06,0.0,,0.0,-0.25,-0.241,-41.908714,,,,,,,,,20709500.0,209165952.0,,,2021-11-10,,,,,,,,,,,,
AACIU,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NGM,Armada Acquisition Corp. I,Armada Acquisition Corp. I,finmb_706895895,America/New_York,EDT,-14400000,us_market,False,0.0,10.0,REGULAR,1628861400000.0,2,0.0,1678823989,10.0,NasdaqGM,86.0,10.0,0.28999996,0.029866114,9.71 - 10.825,-0.8249998,-0.07621246,9.71,10.825,10.2626,-0.26259995,-0.025588052,10.043975,-0.043974876,-0.0043782345,15,0,False,False,10.0,10.0,10.0 - 10.0,10.0,100.0,10.1,10.45,8.0,10.0,USD,10.0,0.0,,0.0,-0.203,-0.241,-41.49378,,,,,,,,,,,,,2021-08-13,,,,,,,,,,,,
AACIW,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NGM,Armada Acquisition Corp. I Warrant,Armada Acquisition Corp. I,finmb_706895895,America/New_York,EDT,-14400000,us_market,False,9.999998,0.11,REGULAR,,4,0.009999998,1679578202,0.1,NasdaqGM,,,0.0,0.0,0.11 - 0.11,0.0,0.0,0.11,0.11,,,,,,,15,0,False,False,0.11,0.11,0.11 - 0.11,0.11,100.0,0.0696,0.11,10.0,9.0,USD,0.11,,,,,0.005,22.0,,,,,,,,,,,,,2021-11-10,,,,,,,,,,,,
AADI,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NCM,"Aadi Bioscience, Inc.","Aadi Bioscience, Inc.",finmb_430225247,America/New_York,EDT,-14400000,us_market,False,-2.080445,7.06,REGULAR,1518791400000.0,2,-0.1500001,1679589531,7.21,NasdaqCM,123683.0,194290.0,0.059999943,0.008571421,7.0 - 18.54,-11.480001,-0.6192018,7.0,18.54,11.0026,-3.9425998,-0.35833347,12.584925,-5.5249248,-0.43901134,15,0,False,False,7.06,7.31,7.06 - 7.31,7.06,50917.0,7.14,7.17,31.0,8.0,USD,7.25,0.0,1.4989384,0.0,4.71,6.932,1.018465,Aadi Bioscience,,1680006600.0,1680006600.0,1680006600.0,-2.53,-2.94,-2.4013605,24395100.0,172229408.0,-2.7905138,1.6 - Buy,,,,,,,,,,,,,
AADR,en-US,US,ETF,ETF,Nasdaq Real Time Price,True,HIGH,USD,NGM,AdvisorShares Dorsey Wright,AdvisorShares Dorsey Wright ADR ETF,finmb_109691817,America/New_York,EDT,-14400000,us_market,False,1.6438851,47.06,REGULAR,1279719000000.0,2,0.76110077,1679588331,46.2989,NasdaqGM,4213.0,1660.0,3.710003,0.08558254,43.35 - 61.15,-14.09,-0.230417,43.35,61.15,48.7692,-1.709198,-0.03504667,48.654,-1.593998,-0.03276191,15,0,False,False,47.06,47.0988,46.25 - 47.0988,46.25,2058.0,46.8,47.05,9.0,18.0,,46.25,,11.523901,,4.083687,,,,,,,,,,,,,,,2021-06-03,-3.05925,-3.36916,-3.36916,,,,,,,,,
AAIDX,en-US,US,MUTUALFUND,Fund,Delayed Quote,False,NONE,USD,NAS,Axonic Alternative Income Fund,Axonic Alternative Income Fund,finmb_585522804,America/New_York,EDT,-14400000,us_market,False,0.0,19.58,REGULAR,1552055400000.0,2,0.0,1679573101,19.58,Nasdaq,0.0,0.0,-0.8600006,-0.042074393,20.44 - 22.6,-3.0200005,-0.13362834,20.44,22.6,22.254705,-2.6747055,-0.12018607,22.261555,-2.6815548,-0.12045676,15,0,False,False,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NMS,"American Airlines Group, Inc.",American Airlines Group Inc.,finmb_168569,America/New_York,EDT,-14400000,us_market,False,0.14472112,13.84,REGULAR,1127827800000.0,2,0.020000458,1679589618,13.82,NasdaqGS,25311064.0,27823980.0,2.1900005,0.18798289,11.65 - 21.42,-7.58,-0.3538749,11.65,21.42,15.971,-2.1309996,-0.13342932,14.31945,-0.47945023,-0.033482447,15,0,False,False,13.84,14.18,13.83 - 14.18,13.83,10001963.0,13.91,13.92,18.0,29.0,USD,14.0,0.0,69.2,0.0,0.2,-8.913,-1.552788,American Airlines,1582070400.0,1674739800.0,1681907400.0,1682339400.0,2.87,2.13,6.4976525,651430976.0,9015804928.0,4.8223,2.9 - Hold,,,,,,,,,,,,,
